"tenant_id","driver_id","online_time","offline_time","working_time","dt","week_of_year","car_id","pm","pt"
1,2104514758,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,60598401,"201908","20190809"
1,2104916928,2019-08-09 14:46:00,2019-08-09 19:32:59,3044,"20190809",32,60772591,"201908","20190809"
1,2106017991,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,60785254,"201908","20190809"
1,2106114152,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,60796275,"201908","20190809"
1,2106212966,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,146956428,"201908","20190809"
1,2114712561,2019-08-09 15:21:00,2019-08-09 15:32:59,658,"20190809",32,121587620,"201908","20190809"
1,2116413156,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,61576646,"201908","20190809"
1,2119015128,2019-08-09 10:27:00,2019-08-09 10:51:59,1497,"20190809",32,62324916,"201908","20190809"
1,2120111049,2019-08-09 11:09:00,2019-08-09 21:13:59,36298,"20190809",32,61840909,"201908","20190809"
1,2124116999,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,62360725,"201908","20190809"
1,2125118657,2019-08-09 17:47:00,2019-08-09 18:50:59,3838,"20190809",32,72536763,"201908","20190809"
1,2276414896,2019-08-09 11:23:00,2019-08-09 20:49:59,33948,"20190809",32,72598969,"201908","20190809"
1,2300116143,2019-08-09 14:49:00,2019-08-09 17:24:59,2938,"20190809",32,75008813,"201908","20190809"
1,2307411502,2019-08-09 17:53:00,2019-08-09 23:25:59,19973,"20190809",32,123219102,"201908","20190809"
1,2309518484,2019-08-09 20:28:00,2019-08-09 20:58:59,533,"20190809",32,75929648,"201908","20190809"
1,2312016183,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,60137170,"201908","20190809"
1,2312615405,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,98616513,"201908","20190809"
1,2315115586,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,76278205,"201908","20190809"
1,2319714272,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,97262281,"201908","20190809"
1,2324717307,2019-08-09 00:00:00,2019-08-09 14:55:59,19253,"20190809",32,97512605,"201908","20190809"
1,2347212423,2019-08-09 00:00:00,2019-08-09 23:59:59,86397,"20190809",32,99538733,"201908","20190809"
1,2349014700,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,100981380,"201908","20190809"
1,2355715294,2019-08-09 00:30:00,2019-08-09 06:20:59,951,"20190809",32,100498563,"201908","20190809"
1,2362318849,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,100648896,"201908","20190809"
1,2362516410,2019-08-09 00:00:00,2019-08-09 23:59:59,86395,"20190809",32,100656438,"201908","20190809"
1,2363312891,2019-08-09 18:19:00,2019-08-09 19:25:59,4017,"20190809",32,100800128,"201908","20190809"
1,2365910581,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,101107506,"201908","20190809"
1,2671519962,2019-08-09 00:18:00,2019-08-09 01:10:59,3169,"20190809",32,121778590,"201908","20190809"
1,2676512506,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,122311161,"201908","20190809"
1,2679516715,2019-08-09 00:00:00,2019-08-09 12:13:59,44038,"20190809",32,122524059,"201908","20190809"
1,2681811051,2019-08-09 00:00:00,2019-08-09 00:28:59,1739,"20190809",32,0,"201908","20190809"
1,2684418594,2019-08-09 15:14:00,2019-08-09 21:05:59,15385,"20190809",32,75725434,"201908","20190809"
1,2685112711,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,123579372,"201908","20190809"
1,2685710615,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,123627179,"201908","20190809"
1,2686015412,2019-08-09 02:41:00,2019-08-09 05:25:59,9778,"20190809",32,124163781,"201908","20190809"
1,2686213575,2019-08-09 17:48:00,2019-08-09 18:30:59,2576,"20190809",32,147884090,"201908","20190809"
1,2687510517,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,123702018,"201908","20190809"
1,2687612429,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,123715015,"201908","20190809"
1,2689613379,2019-08-09 00:00:00,2019-08-09 20:51:59,69533,"20190809",32,123932614,"201908","20190809"
1,2690817585,2019-08-09 00:00:00,2019-08-09 23:59:59,21763,"20190809",32,123993339,"201908","20190809"
1,2690913682,2019-08-09 00:00:00,2019-08-09 23:59:59,86393,"20190809",32,124009657,"201908","20190809"
1,3007713666,2019-08-09 00:34:00,2019-08-09 23:59:59,84358,"20190809",32,147019886,"201908","20190809"
1,3024415203,2019-08-09 14:22:00,2019-08-09 15:14:59,2566,"20190809",32,148438910,"201908","20190809"
1,3027018991,2019-08-09 04:47:00,2019-08-09 04:55:59,477,"20190809",32,148655520,"201908","20190809"
1,3031210996,2019-08-09 18:24:00,2019-08-09 19:14:59,1132,"20190809",32,148972804,"201908","20190809"
800001,2683710873,2019-08-09 00:00:00,2019-08-09 15:47:59,56879,"20190809",32,123405711,"201908","20190809"
800001,2684112423,2019-08-09 16:46:00,2019-08-09 18:19:59,5336,"20190809",32,123533637,"201908","20190809"
800001,2688010827,2019-08-09 00:00:00,2019-08-09 15:06:59,53278,"20190809",32,123796720,"201908","20190809"
800007,2325616553,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,97621356,"201908","20190809"
800007,2325719496,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,97631615,"201908","20190809"
800007,2326218518,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,97686178,"201908","20190809"
800007,2326311267,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,97690164,"201908","20190809"
800007,2326819505,2019-08-09 00:00:00,2019-08-09 23:59:59,86399,"20190809",32,97749596,"201908","20190809"
